UpperLimits,MGSDUpperLimits
1.5715282559394836,13.860145816359742
1.5663957595825195,13.764732721933989
1.5662548542022705,13.716145339609215
1.5706220269203186,13.70972209870267
1.5791480541229248,13.74207498516852
1.591353178024292,13.808766468766278
1.674191415309906,14.489043839934645
1.693117082118988,14.616938799578842
0.0,0.0
0.0,0.0
1.7624859809875488,15.123077631852743
1.789405345916748,15.329263033082444
1.8187726736068726,15.559001242422012
1.8514214158058167,15.819495925065269
1.8885161876678467,16.12077657980598
1.9312521815299988,16.473139383033615
2.134854555130005,18.20004227125506
2.1972756385803223,18.72622255589987
2.2694594264030457,19.33946955109529
