Names,MCSN55Int,MCSN55Intval,MCSN6Int,MCSN6Intval,MCSN65Int,MCSN65Intval,MCSN7Int,MCSN7Intval,MCSN75Int,MCSN75Intval,MCSN55Mass,MCSN55Massval,MCSN6Mass,MCSN6Massval,MCSN65Mass,MCSN65Massval,MCSN7Mass,MCSN7Massval,MCSN75Mass,MCSN75Massval,MCSN_SNR_7,MCSN_SNR_7_val,MCSN_SNR_9,MCSN_SNR_9_val
ngc2775_SN1993Z_,184.60691120167078,4.025117874145508,313.50125808117735,6.139892578125,nan,nan,nan,nan,nan,nan,184.60691120167078,4.025117874145508,313.50125808117735,1048775.375,nan,nan,nan,nan,nan,nan,450.2986902724884,7.521860599517822,577.3427246002448,9.090339660644531
ngc2997_SN2003jg_,3.210982238446186,101.06683349609375,3.210982238446186,101.06683349609375,3.210982238446186,101.06683349609375,3.210982238446186,101.06683349609375,1101.1884553624807,187.260009765625,3.210982238446186,101.06683349609375,3.210982238446186,11529481.45783533,3.210982238446186,11529481.45783533,3.210982238446186,11529481.45783533,nan,nan,3.210982238446186,128.2710418701172,3.210982238446186,128.2710418701172
ngc2997_SN2008eh_,7.664398908642832,13.199077606201172,7.664398908642832,13.199077606201172,70.17226738951437,18.901578903198242,4553.796028079081,61.1678581237793,9293.976645508863,187.260009765625,7.664398908642832,13.199077606201172,7.664398908642832,2485703.2724017925,55.53661225628159,3293371.1545287645,4566.297421903666,10263073.391534664,nan,nan,7.664398908642832,28.017152786254883,7.664398908642832,28.017152786254883
ngc3239_SN2012A_,816.4988728454339,5.244786262512207,873.137036225449,5.8687896728515625,nan,nan,nan,nan,nan,nan,816.4988728454339,5.244786262512207,816.4988728454339,1041481.8217680132,nan,nan,nan,nan,nan,nan,2674.7867850582084,7.475461006164551,2737.2041687915093,9.097108840942383
ngc3627_SN2009hd_,11.544233889814256,114.62438201904297,11.544233889814256,114.62438201904297,11.544233889814256,114.62438201904297,11.544233889814256,114.62438201904297,53.218515511594504,200.90882873535156,11.544233889814256,114.62438201904297,11.544233889814256,15237371.03110325,11.544233889814256,15237371.03110325,11.544233889814256,15237371.03110325,95.91566062143646,33157214.068388145,11.544233889814256,108.57203674316406,11.544233889814256,108.57203674316406
ngc3627_SN1997bs_,6.110750871314156,5.636970520019531,23.889787290951478,6.467590808868408,217.46589383613806,19.319107055664062,3051.5853493384316,59.634681701660156,3445.151483739849,198.62364196777344,6.110750871314156,5.636970520019531,34.59592809184257,1084613.887349486,1614.7019982682348,3343454.9975991463,3076.798605297623,10243647.911273403,3520.1214283650465,32473584.1204776,6.110750871314156,7.043044567108154,34.59592809184257,9.705832481384277
ngc3627_SN1973R_,7.336047333005577,11.580377578735352,7.336047333005577,11.580377578735352,120.07247155352718,18.877798080444336,762.7423026053253,59.14208984375,3458.111778154869,186.09609985351562,7.336047333005577,11.580377578735352,7.336047333005577,1704005.3535072093,162.621245557664,3421304.2161209704,842.0378192998365,10573914.66223477,3630.740787765528,31837752.460521176,7.336047333005577,18.310056686401367,7.336047333005577,18.310056686401367
ngc3627_SN1989B_,12.455637161524647,28.70233726501465,12.455637161524647,28.70233726501465,12.455637161524647,28.70233726501465,52.6857494984878,68.47909545898438,201.80137040394584,190.19137573242188,12.455637161524647,28.70233726501465,12.455637161524647,3698219.9109033053,12.455637161524647,3698219.9109033053,72.13870379549208,10040025.354812736,288.81283204446595,31652165.85198395,12.455637161524647,35.57337951660156,12.455637161524647,35.57337951660156
ngc3627_SN2016cok_,10.442954646936867,5.222754001617432,49.806157174113146,6.227537155151367,528.041874197307,18.6270694732666,1468.157482538937,61.601722717285156,3032.4507034145836,185.3595428466797,10.442954646936867,5.222754001617432,64.43700100518274,1043971.9143676105,598.424952707856,3196103.9187772633,1475.895228726785,10072247.744576907,3384.587995083437,32383661.20172397,10.442954646936867,7.594663619995117,49.806157174113146,9.096892356872559
ngc4254_SN1972Q_,4.082603353940457,2.2311129570007324,336.07051367057295,5.857431411743164,873.8988670893203,18.910396575927734,4402.90913117251,59.23017501831055,nan,nan,4.082603353940457,2.2311129570007324,262.8809342730435,1072048.1072646372,809.3866314223939,3251071.3893098296,4441.314696484143,10180238.607720554,nan,nan,74.37592054210404,7.90675163269043,269.1723486354282,9.215085983276367
ngc4254_SN1967H_,8.088649613442417,14.161813735961914,8.088649613442417,14.161813735961914,205.7636952278847,18.614511489868164,608.4485339382866,60.12942123413086,nan,nan,8.088649613442417,14.161813735961914,8.088649613442417,2196940.21959595,234.5026057780198,3301273.190109389,1551.7895267696367,11062103.581593221,nan,nan,8.088649613442417,24.022611618041992,8.088649613442417,24.022611618041992
ngc4254_SN2014L_,10.971624901057561,45.09716796875,10.971624901057561,45.09716796875,10.971624901057561,45.09716796875,82.43568160821998,61.117801666259766,nan,nan,10.971624901057561,45.09716796875,10.971624901057561,5796871.708466632,10.971624901057561,5796871.708466632,154.7197015810027,11178244.521749549,nan,nan,10.971624901057561,61.789512634277344,10.971624901057561,61.789512634277344
ngc4254_SN1986I_,20.66585283424345,10.533950805664062,20.66585283424345,10.533950805664062,90.32157257879365,20.95405387878418,657.4156336052388,59.10130310058594,nan,nan,20.66585283424345,10.533950805664062,20.66585283424345,1605143.8514422118,90.32157257879365,3189063.621756265,1832.9867959598255,11062103.581593221,nan,nan,20.66585283424345,15.902466773986816,20.66585283424345,15.902466773986816
ngc4303_SN2006ov_,109.46815538240743,4.022378921508789,135.89059357760024,7.062232494354248,211.0259372270622,19.630990982055664,359.8696121878015,61.58129119873047,4239.4925928477205,185.2025604248047,109.46815538240743,4.022378921508789,160.23980959350635,1578930.5650283596,217.44610071072347,3370473.4123274465,979.2595626370447,10154883.68150117,nan,nan,160.23980959350635,9.044010162353516,160.23980959350635,9.044010162353516
