galaxy,SN_name,SN_type,SN_ra,SN_dec,SN_xCoord,SN_yCoord,SN_co21int,SN_co21err,SN_co21ew,map_beamsize,orient_ra,orient_dec,dist,orient_posang,orient_incl,size_r25,telOrient,ImageFile150,ErrFile150,AlphaCOFile,PACovFile,IFRFile
ngc2775,SN1993Z,Ia,137.5816,7.0278,238.87645821251908,127.10339065992463,-0.38350943,1.6052351,nan,0.0003033655107496,137.58395,7.038066,23.15,156.5,41.2,127.38587,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc2775/ngc2775_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc2775/ngc2775_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC2775_alphaCO21_scaling.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc2775/ngc2775_12m+7m+tp_co21_150pc_coverage2d.fits,/data/tycho/0/leroy.42/projects/phangs_survey_2019/working_data/irac/ngc2775_irac1_gauss7p5.fits
ngc2997,SN2008eh,unclassified,146.4507,-31.1791,153.98999644262688,695.4058331767972,15.87045,0.5928071,5.444655,0.0004911204571882,146.41164,-31.19109,14.06,108.1,33.0,307.69553,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc2997/ngc2997_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc2997/ngc2997_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC2997_alphaCO21_scaling.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc2997/ngc2997_12m+7m+tp_co21_150pc_coverage2d.fits,/data/tycho/0/leroy.42/projects/phangs_survey_2019/working_data/z0mgs/ngc2997_w1_gauss7p5.fits
ngc2997,SN2003jg,Ic,146.4086,-31.1891,585.4652091010014,576.33452414425,107.84368,1.0240551,12.296705,0.0004911204571882,146.41164,-31.19109,14.06,108.1,33.0,307.69553,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc2997/ngc2997_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc2997/ngc2997_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC2997_alphaCO21_scaling.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc2997/ngc2997_12m+7m+tp_co21_150pc_coverage2d.fits,/data/tycho/0/leroy.42/projects/phangs_survey_2019/working_data/z0mgs/ngc2997_w1_gauss7p5.fits
ngc3239,SN2012A,II,156.2808,17.1541,154.78836138615736,47.086512314478114,0.0,0.8119465,nan,0.0003561811832922,156.27031,17.163702,10.86,72.9,60.3,108.42295,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc3239/ngc3239_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc3239/ngc3239_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC3239_alphaCO21_scaling.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc3239/ngc3239_12m+7m+tp_co21_150pc_coverage2d.fits,/data/tycho/0/leroy.42/projects/phangs_survey_2019/working_data/irac/ngc3239_irac1_gauss7p5.fits
ngc3627,SN1989B,Ia,170.058,13.0053,251.5371313808383,556.7930397399508,18.840698,1.5260814,11.721322,0.0004517319625788,170.06252,12.9915,11.32,173.1,57.3,308.40494,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc3627/ngc3627_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc3627/ngc3627_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC3627_alphaCO21_scaling.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc3627/ngc3627_12m+7m+tp_co21_150pc_coverage2d.fits,/data/tycho/0/leroy.42/projects/phangs_survey_2019/working_data/irac/ngc3627_irac1_gauss7p5.fits
ngc3627,SN2016cok,II,170.0797,12.9825,61.367765356577905,351.20979461614627,4.8749094,1.2110753,3.370604,0.0004517319625788,170.06252,12.9915,11.32,173.1,57.3,308.40494,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc3627/ngc3627_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc3627/ngc3627_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC3627_alphaCO21_scaling.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc3627/ngc3627_12m+7m+tp_co21_150pc_coverage2d.fits,/data/tycho/0/leroy.42/projects/phangs_survey_2019/working_data/irac/ngc3627_irac1_gauss7p5.fits
ngc3627,SN2009hd,II,170.0707,12.9796,139.6131050423376,325.1490303240861,68.404076,1.8574204,17.742697,0.0004517319625788,170.06252,12.9915,11.32,173.1,57.3,308.40494,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc3627/ngc3627_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc3627/ngc3627_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC3627_alphaCO21_scaling.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc3627/ngc3627_12m+7m+tp_co21_150pc_coverage2d.fits,/data/tycho/0/leroy.42/projects/phangs_survey_2019/working_data/irac/ngc3627_irac1_gauss7p5.fits
ngc3627,SN1973R,II,170.0481,12.9977,338.11789529651713,488.6861242824415,10.426507,1.2085319,8.859421,0.0004517319625788,170.06252,12.9915,11.32,173.1,57.3,308.40494,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc3627/ngc3627_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc3627/ngc3627_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC3627_alphaCO21_scaling.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc3627/ngc3627_12m+7m+tp_co21_150pc_coverage2d.fits,/data/tycho/0/leroy.42/projects/phangs_survey_2019/working_data/irac/ngc3627_irac1_gauss7p5.fits
ngc4254,SN1967H,II,184.7184,14.414,158.450493073382,175.1800627591864,13.982137,0.832084,5.9410896,0.000494815869629,184.7068,14.416412,13.1,68.1,34.4,151.0502,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4254/ngc4254_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4254/ngc4254_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC4254_alphaCO21_scaling.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4254/ngc4254_12m+7m+tp_co21_150pc_coverage2d.fits,/data/tycho/0/leroy.42/projects/phangs_survey_2019/working_data/irac/ngc4254_irac1_gauss7p5.fits
ngc4254,SN1972Q,II,184.7107,14.4443,212.1103782901225,393.17823595201406,2.592284,0.633742,1.7487494,0.000494815869629,184.7068,14.416412,13.1,68.1,34.4,151.0502,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4254/ngc4254_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4254/ngc4254_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC4254_alphaCO21_scaling.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4254/ngc4254_12m+7m+tp_co21_150pc_coverage2d.fits,/data/tycho/0/leroy.42/projects/phangs_survey_2019/working_data/irac/ngc4254_irac1_gauss7p5.fits
ngc4254,SN1986I,II,184.7169,14.4123,168.59519354706515,162.34558085229372,4.968932,0.9254001,5.5154977,0.000494815869629,184.7068,14.416412,13.1,68.1,34.4,151.0502,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4254/ngc4254_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4254/ngc4254_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC4254_alphaCO21_scaling.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4254/ngc4254_12m+7m+tp_co21_150pc_coverage2d.fits,/data/tycho/0/leroy.42/projects/phangs_survey_2019/working_data/irac/ngc4254_irac1_gauss7p5.fits
ngc4254,SN2014L,Ic,184.7029,14.4121,266.1503904555237,160.92822020115597,43.083294,1.0075488,7.9191947,0.000494815869629,184.7068,14.416412,13.1,68.1,34.4,151.0502,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4254/ngc4254_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4254/ngc4254_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/v1p0/NGC4254_alphaCO21_scaling.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4254/ngc4254_12m+7m+tp_co21_150pc_coverage2d.fits,/data/tycho/0/leroy.42/projects/phangs_survey_2019/working_data/irac/ngc4254_irac1_gauss7p5.fits
