galaxy,SN_name,SN_type,SN_ra,SN_dec,SN_xCoord,SN_yCoord,SN_co21int,SN_co21err,SN_co21ew,map_beamsize,orient_ra,orient_dec,dist,orient_posang,orient_incl,size_r25,telOrient,ImageFile150,ErrFile150,AlphaCOFile,Names,MCSN55Int,MCSN55Intval,MCSN6Int,MCSN6Intval,MCSN65Int,MCSN65Intval,MCSN7Int,MCSN7Intval,MCSN75Int,MCSN75Intval,MCSN55Mass,MCSN55Massval,MCSN6Mass,MCSN6Massval,MCSN65Mass,MCSN65Massval,MCSN7Mass,MCSN7Massval,MCSN75Mass,MCSN75Massval,MCSN_SNR_7,MCSN_SNR_7_val,MCSN_SNR_9,MCSN_SNR_9_val,MCSN_SNR_1,MCSN_SNR_1_val,MCSN_SNR_3,MCSN_SNR_3_val,MCSN_SNR_5,MCSN_SNR_5_val
ngc4303,SN1961I,II,185.5018,4.4704,10.519872860778008,180.66992451107234,1.7587852,1.9515179,nan,0.000503635821363,185.47888,4.473744,16.99,312.4,23.5,206.59573,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4303/ngc4303_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4303/ngc4303_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/NGC4303_alphaCO21_Sun+20.fits,ngc4303_SN1961I_,271.1220951817008,5.3403000831604,288.4290014351114,6.532375335693359,796.7532484440807,18.724332809448242,6296.553006450939,62.179664611816406,6946.505215067836,185.2025604248047,271.1220951817008,5.3403000831604,288.4290014351114,1045625.9566135238,830.2608391242726,3244582.4335259907,6330.754063826803,10253855.790781155,nan,nan,553.0976479231012,7.446117877960205,586.8039871205931,9.353092193603516,39.55008081006361,1.05087149143219,271.1220951817008,3.5849831104278564,316.20367972200705,5.083737850189209
ngc4303,SN1964F,II,185.4698,4.4738,297.942418412107,211.18798785622457,2.9759102,0.99257433,2.2395327,0.000503635821363,185.47888,4.473744,16.99,312.4,23.5,206.59573,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4303/ngc4303_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4303/ngc4303_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/NGC4303_alphaCO21_Sun+20.fits,ngc4303_SN1964F_,19.267465489400372,3.621992349624634,42.32151212440632,6.497021198272705,1534.21436355777,20.01951026916504,2134.7037001966473,62.459285736083984,2269.693672005843,187.4920654296875,19.267465489400372,3.621992349624634,67.2324733737856,1143774.9405828118,1559.4451144313002,3389965.67493187,2184.155716107064,10372441.942727802,nan,nan,67.2324733737856,9.297468185424805,67.2324733737856,9.297468185424805,15.540403039198011,2.998173713684082,19.267465489400372,3.661780834197998,38.170461429303884,5.018499851226807
ngc4254,SN1967H,II,184.7184,14.414,158.450493073382,175.1800627591864,13.982137,0.832084,5.9410896,0.000494815869629,184.7068,14.416412,13.1,68.1,34.4,151.0502,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4254/ngc4254_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4254/ngc4254_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/NGC4254_alphaCO21_Sun+20.fits,ngc4254_SN1967H_,8.088649613442417,14.161813735961914,8.088649613442417,14.161813735961914,205.7636952278847,18.614511489868164,608.4485339382866,60.12942123413086,nan,nan,8.088649613442417,14.161813735961914,8.088649613442417,2196940.21959595,234.5026057780198,3301273.190109389,1551.7895267696367,11062103.581593221,nan,nan,8.088649613442417,24.022611618041992,8.088649613442417,24.022611618041992,8.088649613442417,24.022611618041992,8.088649613442417,24.022611618041992,8.088649613442417,24.022611618041992
ngc5236,SN1968L,II,204.252,-29.8665,625.9979098150186,615.2835430994201,157.89561,1.1755879,14.017309,0.000594044605435,204.2539,-29.865625,4.89,225.0,24.0,408.43347,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc5236/ngc5236_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc5236/ngc5236_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/NGC5236_alphaCO21_Sun+20.fits,ngc5236_SN1968L_,0.2318617484057499,222.9096221923828,0.2318617484057499,222.9096221923828,0.2318617484057499,222.9096221923828,0.2318617484057499,222.9096221923828,0.2318617484057499,222.9096221923828,0.2318617484057499,222.9096221923828,0.2318617484057499,38075932.0,0.2318617484057499,38075932.0,0.2318617484057499,38075932.0,0.2318617484057499,38075932.0,0.2318617484057499,627.7263793945312,0.2318617484057499,627.7263793945312,0.2318617484057499,627.7263793945312,0.2318617484057499,627.7263793945312,0.2318617484057499,627.7263793945312
ngc4254,SN1972Q,II,184.7107,14.4443,212.1103782901225,393.17823595201406,2.592284,0.633742,1.7487494,0.000494815869629,184.7068,14.416412,13.1,68.1,34.4,151.0502,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4254/ngc4254_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4254/ngc4254_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/NGC4254_alphaCO21_Sun+20.fits,ngc4254_SN1972Q_,4.082603353940457,2.2311129570007324,336.07051367057295,5.857431411743164,873.8988670893203,18.910396575927734,4402.90913117251,59.23017501831055,nan,nan,4.082603353940457,2.2311129570007324,262.8809342730435,1072048.1072646372,809.3866314223939,3251071.3893098296,4441.314696484143,10180238.607720554,nan,nan,74.37592054210404,7.90675163269043,269.1723486354282,9.215085983276367,4.082603353940457,5.0416259765625,4.082603353940457,5.0416259765625,4.082603353940457,5.0416259765625
ngc3627,SN1973R,II,170.0481,12.9977,338.11789529651713,488.6861242824415,10.426507,1.2085319,8.859421,0.0004517319625788,170.06252,12.9915,11.32,173.1,57.3,308.40494,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc3627/ngc3627_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc3627/ngc3627_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/NGC3627_alphaCO21_Sun+20.fits,ngc3627_SN1973R_,7.336047333005577,11.580377578735352,7.336047333005577,11.580377578735352,120.07247155352718,18.877798080444336,762.7423026053253,59.14208984375,3458.111778154869,186.09609985351562,7.336047333005577,11.580377578735352,7.336047333005577,1704005.3535072093,162.621245557664,3421304.2161209704,842.0378192998365,10573914.66223477,3630.740787765528,31837752.460521176,7.336047333005577,18.310056686401367,7.336047333005577,18.310056686401367,7.336047333005577,18.310056686401367,7.336047333005577,18.310056686401367,7.336047333005577,18.310056686401367
ngc4321,SN1979C,II,185.7442,15.7978,137.4013906720773,42.69608917129949,1.4573174,0.79451734,nan,0.000462934650464,185.72887,15.822304,15.21,156.2,38.5,182.86105,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4321/ngc4321_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4321/ngc4321_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/NGC4321_alphaCO21_Sun+20.fits,ngc4321_SN1979C_,96.96833984548938,2.022798776626587,701.7931123116823,6.233104705810547,1088.9914322166658,18.575889587402344,1444.333057748289,65.36576843261719,7082.429541283296,195.5511474609375,96.96833984548938,2.022798776626587,701.7931123116823,1003511.0169087126,1125.3618193941177,3227087.160195354,1444.333057748289,10014637.319495222,7511.337923641237,33917414.42532357,236.8994727207657,7.852555274963379,873.2842869666347,9.18446159362793,14.864433432993032,2.364112377166748,96.96833984548938,3.021937847137451,200.78758937149792,6.161630630493164
ngc4536,SN1981B,Ia,188.6231,2.1998,356.9734161220465,540.0478012960401,0.042755257,0.33802134,nan,0.0004100974881516,188.61278,2.188243,16.25,305.6,66.0,212.38373,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4536/ngc4536_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc4536/ngc4536_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/NGC4536_alphaCO21_Sun+20.fits,ngc4536_SN1981B_,374.2684537021926,1.9655729532241821,4841.294177011161,5.930254936218262,8755.354183994627,19.92277717590332,8963.020481761632,60.26820373535156,10258.727040244226,191.53207397460938,325.0958781541451,1.9655729532241821,3329.2526959588636,1067731.4021084222,8800.68844482741,3613632.0529044275,9053.843926747564,10516198.519285623,10352.025677455875,31782869.039171547,948.5672987775947,7.092623233795166,3234.947516173715,9.428165435791016,38.78267082719364,1.1686378717422485,215.12582595739067,3.3287878036499023,360.9134761360985,5.0224151611328125
ngc5236,SN1983N,Ib,204.2135,-29.9006,866.565592737917,369.37333275036656,2.8444028,0.6853391,nan,0.000594044605435,204.2539,-29.865625,4.89,225.0,24.0,408.43347,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc5236/ngc5236_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc5236/ngc5236_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/NGC5236_alphaCO21_Sun+20.fits,ngc5236_SN1983N_,54.325387077456725,1.8616448640823364,219.60927061166515,6.07979679107666,1108.5979762056477,18.57708168029785,1648.6485524497596,59.59466552734375,3640.1357215623984,186.05697631835938,54.325387077456725,1.8616448640823364,219.60927061166515,1038510.25,1108.5979762056477,3173213.0,1648.6485524497596,10179562.0,3640.1357215623984,31781008.0,144.89328005395618,7.032066345214844,162.17779068287234,9.065372467041016,7.073823180658009,5.2360687255859375,7.073823180658009,5.2360687255859375,7.073823180658009,5.2360687255859375
ngc1365,SN1983V,Ic,53.3819,-36.1486,571.5153905023813,127.96380165601636,5.781725,1.1458964,3.55028,0.0003829740084505,53.40152,-36.140404,19.57,201.1,55.4,360.67926,12m+7m+tp,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc1365/ngc1365_12m+7m+tp_co21_150pc_broad_mom0.fits,/data/tycho/0/leroy.42/reduction/alma/phangs-alma/derived/ngc1365/ngc1365_12m+7m+tp_co21_150pc_broad_emom0.fits,/data/kant/0/sun.1608/PHANGS/ALMA/alphaCO/NGC1365_alphaCO21_Sun+20.fits,ngc1365_SN1983V_,12.759013584611813,5.265270233154297,66.17390589066842,5.97422981262207,458.1641448835059,18.591840744018555,3858.679612925075,61.703208923339844,5212.899825487941,187.46434020996094,12.759013584611813,5.265270233154297,241.94767446597095,1117129.2602015901,1149.6397693832407,3209288.722712777,4068.7433267442775,10246243.945273032,5528.237312252735,32130307.797157433,194.65271883890694,7.302624225616455,225.8981667684753,9.143956184387207,12.759013584611813,5.394262790679932,12.759013584611813,5.394262790679932,12.759013584611813,5.394262790679932
